,photo_name,code_folder,metadata,sentence
254,QD-2017-DSC101025.JPG,p252,"[['p252', 'Petroglyph Site', 'Petroglyphs', '34.117493', '77.621052']]","This is a picture of a heritage site in Ladakh. The site is : Petroglyph Site (code: p252, type: Petroglyphs, coordinates : 34.117493°N 77.621052°E). More information: ladakharcheology.com"
255,QD-2017-DSC101026.JPG,p252,"[['p252', 'Petroglyph Site', 'Petroglyphs', '34.117493', '77.621052']]","This is a picture of a heritage site in Ladakh. The site is : Petroglyph Site (code: p252, type: Petroglyphs, coordinates : 34.117493°N 77.621052°E). More information: ladakharcheology.com"
256,QD-2017-DSC101027.JPG,p252,"[['p252', 'Petroglyph Site', 'Petroglyphs', '34.117493', '77.621052']]","This is a picture of a heritage site in Ladakh. The site is : Petroglyph Site (code: p252, type: Petroglyphs, coordinates : 34.117493°N 77.621052°E). More information: ladakharcheology.com"
257,QD-2017-DSC101028.JPG,p252,"[['p252', 'Petroglyph Site', 'Petroglyphs', '34.117493', '77.621052']]","This is a picture of a heritage site in Ladakh. The site is : Petroglyph Site (code: p252, type: Petroglyphs, coordinates : 34.117493°N 77.621052°E). More information: ladakharcheology.com"
258,QD-2017-DSC101029.JPG,p252,"[['p252', 'Petroglyph Site', 'Petroglyphs', '34.117493', '77.621052']]","This is a picture of a heritage site in Ladakh. The site is : Petroglyph Site (code: p252, type: Petroglyphs, coordinates : 34.117493°N 77.621052°E). More information: ladakharcheology.com"
259,QD-2017-DSC101030.JPG,p252,"[['p252', 'Petroglyph Site', 'Petroglyphs', '34.117493', '77.621052']]","This is a picture of a heritage site in Ladakh. The site is : Petroglyph Site (code: p252, type: Petroglyphs, coordinates : 34.117493°N 77.621052°E). More information: ladakharcheology.com"
260,QD-2017-DSC101031.JPG,p252,"[['p252', 'Petroglyph Site', 'Petroglyphs', '34.117493', '77.621052']]","This is a picture of a heritage site in Ladakh. The site is : Petroglyph Site (code: p252, type: Petroglyphs, coordinates : 34.117493°N 77.621052°E). More information: ladakharcheology.com"
261,QD-2017-DSC101032.JPG,p252,"[['p252', 'Petroglyph Site', 'Petroglyphs', '34.117493', '77.621052']]","This is a picture of a heritage site in Ladakh. The site is : Petroglyph Site (code: p252, type: Petroglyphs, coordinates : 34.117493°N 77.621052°E). More information: ladakharcheology.com"
262,QD-2017-DSC101033.JPG,p252,"[['p252', 'Petroglyph Site', 'Petroglyphs', '34.117493', '77.621052']]","This is a picture of a heritage site in Ladakh. The site is : Petroglyph Site (code: p252, type: Petroglyphs, coordinates : 34.117493°N 77.621052°E). More information: ladakharcheology.com"
263,QD-2017-DSC101040.JPG,pc022,"[['pc022', 'Painted Chorten', 'Painted Chorten', '34.038752', '77.683867']]","This is a picture of a heritage site in Ladakh. The site is : Painted Chorten (code: pc022, type: Painted Chorten, coordinates : 34.038752°N 77.683867°E). More information: ladakharcheology.com"
